Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2021-152156,2021-11-08,2021-11-11,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.91
CA-2021-152156,2021-11-08,2021-11-11,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,South,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,731.94,3,0,219.58
CA-2021-138688,2021-06-12,2021-06-16,Second Class,Darrin Van Huff,Corporate,United States,Los Angeles,California,West,Office Supplies,Labels,Self-Adhesive Address Labels,14.62,2,0,6.87
US-2020-108966,2020-10-11,2020-10-18,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.45,-383.03
US-2020-108966,2020-10-11,2020-10-18,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,2,0.2,2.52
CA-2021-115812,2021-06-09,2021-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,Eldon Expressions Wood and Plastic Desk Accessories,48.86,7,0,14.17
CA-2021-115812,2021-06-09,2021-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Art,Newell 322,7.28,4,0,1.97
CA-2021-115812,2021-06-09,2021-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.15,6,0.2,90.71
CA-2021-115812,2021-06-09,2021-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings,18.5,3,0.2,5.78
CA-2021-115812,2021-06-09,2021-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Art,Faber-Castell ART GRIP Aquarelle,114.9,5,0,34.47
CA-2021-115812,2021-06-09,2021-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.18,9,0.2,85.31
CA-2021-115812,2021-06-09,2021-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Technology,Phones,Konftel 250 Conference phone,911.42,4,0.2,68.36
CA-2022-167164,2022-09-17,2022-09-21,Second Class,Annie Cyprus,Consumer,United States,Fort Worth,Texas,Central,Office Supplies,Labels,Avery 504,65.99,4,0,13.2
CA-2022-143567,2022-03-14,2022-03-17,First Class,Eugene Moren,Home Office,United States,San Diego,California,West,Furniture,Furnishings,Howard Miller 11-1/2" Diameter Alder,46.93,7,0,13.18
CA-2022-143567,2022-03-14,2022-03-17,First Class,Eugene Moren,Home Office,United States,San Diego,California,West,Office Supplies,Binders,Avery Durable Slant Ring Binders,119.2,6,0.2,16.49
CA-2022-135545,2022-09-18,2022-09-22,Second Class,Chloris Kastensmidt,Consumer,United States,Jacksonville,Florida,South,Office Supplies,Paper,Xerox 1967,15.55,2,0,5.44
CA-2022-135545,2022-09-18,2022-09-22,Second Class,Chloris Kastensmidt,Consumer,United States,Jacksonville,Florida,South,Technology,Machines,Canon PC1060 Personal Laser Copier,665.88,6,0.4,-167.71
CA-2022-137330,2022-11-22,2022-11-26,Second Class,Yoseph Carroll,Consumer,United States,Decatur,Alabama,South,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,4099.98,2,0,1659.99
CA-2022-137330,2022-11-22,2022-11-26,Second Class,Yoseph Carroll,Consumer,United States,Decatur,Alabama,South,Technology,Phones,Nokia Smart Phone with Caller ID,1639.96,4,0,582.94
CA-2022-137330,2022-11-22,2022-11-26,Second Class,Yoseph Carroll,Consumer,United States,Decatur,Alabama,South,Office Supplies,Binders,GBC Binding covers,123.86,4,0.1,22.22
CA-2021-156720,2021-04-16,2021-04-21,Standard Class,Peter Fuller,Consumer,United States,Chicago,Illinois,Central,Office Supplies,Appliances,Hoover Replacement Belt,13.98,3,0,4.44
CA-2021-156720,2021-04-16,2021-04-21,Standard Class,Peter Fuller,Consumer,United States,Chicago,Illinois,Central,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,1675.22,5,0.5,-438.53
CA-2021-156720,2021-04-16,2021-04-21,Standard Class,Peter Fuller,Consumer,United States,Chicago,Illinois,Central,Technology,Phones,Apple iPhone,239.96,2,0,67.19
CA-2022-101343,2022-07-07,2022-07-13,Standard Class,Lena Hernandez,Home Office,United States,Seattle,Washington,West,Technology,Accessories,Plantronics Voyager Pro HD Headset,2799.95,7,0,1079.98
CA-2022-101343,2022-07-07,2022-07-13,Standard Class,Lena Hernandez,Home Office,United States,Seattle,Washington,West,Office Supplies,Art,Fiskars 8" Classic Scissors,17.46,3,0,6.11
CA-2022-101343,2022-07-07,2022-07-13,Standard Class,Lena Hernandez,Home Office,United States,Seattle,Washington,West,Furniture,Chairs,SAFCO Commercio Executive Leather Armchair,2573.82,3,0.2,386.07
CA-2022-101343,2022-07-07,2022-07-13,Standard Class,Lena Hernandez,Home Office,United States,Seattle,Washington,West,Office Supplies,Binders,Wilson Jones Easy-Flow Sheet Lifters,37.6,4,0,15.98
CA-2021-109183,2021-05-21,2021-05-28,Standard Class,Zuschuss Donatelli,Consumer,United States,Houston,Texas,Central,Office Supplies,Binders,Acco EL1 Economy Hardcase D-Ring View Binders,2.98,2,0.8,-4.55
CA-2021-109183,2021-05-21,2021-05-28,Standard Class,Zuschuss Donatelli,Consumer,United States,Houston,Texas,Central,Technology,Phones,Logitech G602 Lag-Free Wireless Gaming Mouse,90.47,2,0,45.54
CA-2021-109183,2021-05-21,2021-05-28,Standard Class,Zuschuss Donatelli,Consumer,United States,Houston,Texas,Central,Technology,Accessories,Verbatim 25 Pack DVD+R,7.31,4,0,1.69
CA-2020-161389,2020-12-05,2020-12-10,Second Class,Ken Black,Consumer,United States,San Francisco,California,West,Technology,Phones,Samsung Convoy 3,221.98,2,0,62.15
CA-2020-161389,2020-12-05,2020-12-10,Second Class,Ken Black,Consumer,United States,San Francisco,California,West,Office Supplies,Storage,Fiskars Box Cutter,22.368,3,0.2,2.516
CA-2020-161389,2020-12-05,2020-12-10,Second Class,Ken Black,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,Cardinal Easy-Open D-Ring Binders,8.632,2,0.2,3.035
CA-2023-100678,2023-01-08,2023-01-11,First Class,Sanjit Chand,Consumer,United States,New York City,New York,East,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper,30.8,5,0,11.2
CA-2023-100678,2023-01-08,2023-01-11,First Class,Sanjit Chand,Consumer,United States,New York City,New York,East,Technology,Phones,Logitech Wireless Mouse,48.16,2,0,19.26
CA-2023-113847,2023-02-15,2023-02-17,First Class,Mike Chen,Corporate,United States,Boston,Massachusetts,East,Technology,Copiers,HP LaserJet 3310 Copier,1577.91,3,0,487.46
CA-2023-113847,2023-02-15,2023-02-17,First Class,Mike Chen,Corporate,United States,Boston,Massachusetts,East,Office Supplies,Envelopes,Kraft Clasp Envelopes,14.69,5,0,6.83
CA-2023-119617,2023-03-20,2023-03-24,Standard Class,Anna Andreadi,Consumer,United States,Atlanta,Georgia,South,Furniture,Furnishings,Eldon Wave Desk Accessories,15.28,2,0,5.35
CA-2023-119617,2023-03-20,2023-03-24,Standard Class,Anna Andreadi,Consumer,United States,Atlanta,Georgia,South,Technology,Accessories,Logitech 910-002974 Wireless Keyboard,159.95,3,0,63.98
CA-2023-119617,2023-03-20,2023-03-24,Standard Class,Anna Andreadi,Consumer,United States,Atlanta,Georgia,South,Office Supplies,Art,Avery Dots-On-A-Page,4.98,3,0,2.49
CA-2023-119617,2023-03-20,2023-03-24,Standard Class,Anna Andreadi,Consumer,United States,Atlanta,Georgia,South,Furniture,Chairs,Novimex Executive Chair,1283.91,7,0.35,-354.81
CA-2023-125428,2023-04-10,2023-04-13,First Class,Tom Ashbrook,Corporate,United States,Dallas,Texas,Central,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,499.99,2,0,199.99
CA-2023-125428,2023-04-10,2023-04-13,First Class,Tom Ashbrook,Corporate,United States,Dallas,Texas,Central,Office Supplies,Storage,Advantus Panel Wall File,39.95,3,0,13.97
CA-2023-125428,2023-04-10,2023-04-13,First Class,Tom Ashbrook,Corporate,United States,Dallas,Texas,Central,Office Supplies,Binders,Avery Round Ring Reference Binders,10.58,2,0,4.23
CA-2023-131245,2023-05-22,2023-05-28,Standard Class,Rachel Brown,Consumer,United States,Phoenix,Arizona,West,Technology,Accessories,Cisco TelePresence System,4399.95,1,0,1099.99
CA-2023-131245,2023-05-22,2023-05-28,Standard Class,Rachel Brown,Consumer,United States,Phoenix,Arizona,West,Office Supplies,Paper,Avery Printable Postcards,19.92,2,0,8.95
CA-2023-139876,2023-06-14,2023-06-19,Second Class,Daniel Ruiz,Home Office,United States,Denver,Colorado,West,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvermoor Oak,1299.98,4,0.2,194.99
